,2022-DON390,2022-DON391,2022-DON392,2022-DON393,2022-DON394,2022-DON395,2022-DON396,2022-DON398,2022-DON400,2022-DON401,2022-DON402,2022-DON403,2022-DON404,2022-DON405,2022-DON406,2022-DON407,2022-DON408,2022-DON409,2022-DON410,2022-DON411,2022-DON412,2022-DON413,2022-DON414,2022-DON415,2022-DON416,2022-DON417,2022-DON419,2022-DON420,2022-DON421,2022-DON422,2022-DON423,2022-DON424,2022-DON425,2022-DON426,2022-DON427,2022-DON428,2022-DON429,2022-DON430,2022-DON431,2022-DON435,2023-DON433,2023-DON434,2023-DON436,2023-DON437,2023-DON438,2023-DON439,2023-DON440,2023-DON441,2023-DON442,2023-DON443,2023-DON444,2023-DON445,2023-DON446,2023-DON447,2023-DON448,2023-DON449,2023-DON450,2023-DON451,2023-DON452,2023-DON453,2023-DON454,2023-DON455,2023-DON456,2023-DON457,2023-DON458,2023-DON459,2023-DON460,2023-DON461,2023-DON462,2023-DON463,2023-DON465,2023-DON466,2023-DON467,2023-DON468,2023-DON469,2023-DON470,2023-DON471,2023-DON472,2023-DON473,2023-DON474,2023-DON475,2023-DON476,2023-DON477,2023-DON478,2023-DON479,2023-DON480,2023-DON481,2023-DON482,2023-DON483,2023-DON484,2023-DON485,2023-DON486,2023-DON487,2023-DON488,2023-DON489,2023-DON490,2023-DON491,2023-DON492,2023-DON493,2023-DON494,2023-DON495,2023-DON496
title,Multi-country monkeypox outbreak: situation update,Cholera - Pakistan,Multi-country monkeypox outbreak: situation update,Multi-country monkeypox outbreak: situation update,Severe acute hepatitis of unknown aetiology in children - Multi-country,Wild poliovirus type 1 (WPV1) - Mozambique,Multi-country monkeypox outbreak: situation update,Ebola virus disease - Democratic Republic of the Congo,Severe acute hepatitis of unknown aetiology in children - Multi-country,Dengue in Rohingya refugee/Forcibly Displaced Myanmar Nationals (FDMN) camps in Cox’s Bazar - Bangladesh,Marburg virus disease - Ghana,Leptospirosis - United Republic of Tanzania,Ebola virus disease - Democratic Republic of the Congo,Yellow fever - African Region (AFRO),Circulating vaccine-derived poliovirus type 2 (cVDPV2) - Algeria,Legionellosis - Argentina,Detection of circulating vaccine derived polio virus 2 (cVDPV2) in environmental samples– the United Kingdom of Great Britain and Northern Ireland and the United States of America,Marburg virus disease - Ghana,Ebola Disease caused by Sudan virus - Uganda,Ebola Virus Disease –Democratic Republic of the Congo,Dengue - Nepal,Malaria - Pakistan,Dengue - Pakistan,Cholera - Haiti,Cholera - Lebanon,Rift Valley Fever - Mauritania,Cholera - Malawi,Avian Influenza A (H5N1) - Spain,Ebola Disease caused by Sudan virus - Uganda,Middle East respiratory syndrome coronavirus (MERS-CoV) - Saudi Arabia,Ebola disease caused by Sudan ebolavirus – Uganda,Dengue - Bangladesh,Ebola disease caused by Sudan ebolavirus – Uganda,Cholera – Global situation,Cholera - Haiti,Ebola disease caused by Sudan ebolavirus – Uganda,Increased incidence of scarlet fever and invasive Group A Streptococcus infection - multi-country,Circulating vaccine-derived poliovirus type 2 (cVDPV2) - Indonesia,Yellow fever - African Region (AFRO),Cholera - Malawi,Ebola disease caused by Sudan ebolavirus – Uganda,Human infection caused by avian influenza A(H5) - Ecuador,Middle East Respiratory Syndrome - Oman,Cholera – Global situation,Measles - Paraguay,Meningitis - Niger,Measles - South Sudan,Cholera - Democratic Republic of the Congo,Nipah virus infection - Bangladesh,Cholera - Mozambique,Marburg virus disease - Equatorial Guinea,Avian Influenza A (H5N1) - Cambodia,Measles - Nepal,Measles - South Africa,Geographical expansion of cases of dengue and chikungunya beyond the historical areas of transmission in the Region of the Americas,Marburg virus disease - Equatorial Guinea,Iatrogenic Botulism- European Region,Marburg virus disease - United Republic of Tanzania,Diphtheria - Nigeria,Human infection caused by Avian Influenza A (H5) - Chile,Meningitis - Nigeria,Pneumococcal meningitis - Togo,Avian Influenza A(H3N8) - China,Circulating vaccine-derived poliovirus type 2 (cVDPV2) - Burundi,Circulating vaccine-derived poliovirus type 2 (cVDPV2) - Indonesia,Marburg virus disease - Equatorial Guinea,Measles - Ethiopia,Human Infection caused by Avian Influenza A (H5N1) - Chile,Measles - Indonesia,Lassa fever - Nigeria,Myocarditis - United Kingdom of Great Britain and Northern Ireland,Acute hepatitis E – South Sudan,Marburg virus disease - Equatorial Guinea and the United Republic of Tanzania,Avian Influenza A(H5N1) - United Kingdom of Great Britain and Northern Ireland,Enterovirus Infection - France,Outbreak of suspected fungal meningitis associated with surgical procedures performed under spinal anaesthesia – the United States of America and Mexico,Marburg virus disease - the United Republic of Tanzania,Marburg virus disease - Equatorial Guinea,Influenza A(H1N1) variant virus - Brazil,Enterovirus-Echovirus 11 Infection - the European Region,Dengue – the Region of the Americas,Influenza A(H5N1) in cats – Poland,Guillain-Barré Syndrome - Peru,Middle East Respiratory Syndrome - United Arab Emirates,Circulating vaccine-derived poliovirus type 2 (cVDPV2) - Kenya,Circulating vaccine-derived poliovirus type 2 (cVDPV2) - United Republic of Tanzania,Dengue - Bangladesh,Influenza A(H1N2)v - United States of America,Measles - Chile,Middle East respiratory syndrome coronavirus (MERS-CoV) - Saudi Arabia,Diphtheria - Nigeria,Influenza A (H1N1) variant virus - the Netherlands,Legionellosis - Poland,"Suspected triple outbreak of typhoid fever, shigellosis and cholera - Congo",Botulism - France,Nipah Virus Infection - India,Dengue - Chad,Diphtheria - Guinea,Mpox (monkeypox)- Democratic Republic of the Congo,Upsurge of respiratory illnesses among children-Northern China,Avian Influenza A (H5N1) - Cambodia,Influenza A(H1N2) variant virus infection - United Kingdom of Great Britain and Northern Ireland
Single Pathogen,Monkeypox,Cholera,Monkeypox,Monkeypox,,,Monkeypox,Ebola virus disease (EVD),Severe acute hepatitis of unknown aetiology in children,Dengue,Marburg virus disease (MVD),Leptospirosis,Ebola Virus Disease (EVD),Yellow fever,Circulating vaccine-derived poliovirus type 2 (cVDPV2),Legionella pneumophila,Vaccine-derived poliovirus type 2 (VDPV2),Marburg Virus Disease (MVD),Ebola disease caused by Sudan virus (SUDV),Ebola virus disease (EVD),Dengue virus (DENV),Malaria,Dengue fever,Vibrio cholerae,Cholera,Rift Valley fever (RVF),Vibrio cholerae,Influenza A(H5N1),Sudan ebolavirus (SUDV),Middle East respiratory syndrome coronavirus (MERS-CoV),Sudan ebolavirus (SUDV),Dengue,Ebola Sudan virus (SUDV),Vibrio cholerae,Cholera,Sudan ebolavirus (SUDV),Streptococcus pyogenes,circulating vaccine-derived poliovirus type 2 (cVDPV2),Yellow fever,Vibrio cholerae,Sudan ebolavirus,Avian influenza A(H5) virus,Middle East Respiratory Syndrome Coronavirus (MERS-CoV),Vibrio cholerae,Measles,Neisseria meningitidis serogroup C (NmC),Measles,Vibrio cholerae,Nipah virus infection,Cholera,Marburg virus disease (MVD),Avian influenza A (H5N1) virus,Measles,Measles,,Marburg virus disease,Iatrogenic Botulism,Marburg virus disease (MVD),Diphtheria,Avian Influenza A(H5),,Streptococcus pneumoniae,Avian Influenza A(H3N8),Circulating vaccine-derived poliovirus type 2 (cVDPV2),Circulating Vaccine-Derived Poliovirus Type 2 (cVDPV2),Marburg virus disease (MVD),Measles,Avian Influenza A(H5N1),Measles,,Enterovirus (Coxsackie B3 or Coxsackie B4),Hepatitis E Virus (HEV),Marburg virus disease (MVD),Avian Influenza A(H5N1),Enterovirus (Echovirus-11 (E-11)),Fusarium solani,Marburg virus disease (MVD),Marburg virus disease (MVD),Influenza A(H1N1)v virus,Echovirus 11 (E-11),Dengue,Influenza A (H5N1),Guillain-Barré Syndrome (GBS),Middle East Respiratory Syndrome Coronavirus (MERS-CoV),Circulating vaccine-derived poliovirus type 2 (cVDPV2),Circulating vaccine-derived poliovirus type 2 (cVDPV2),Dengue,Influenza A(H1N2) variant virus,Measles,Middle East respiratory syndrome coronavirus (MERS-CoV),,Influenza A(H1N1)v virus,Legionnaires' disease,,Botulism,Nipah virus,Dengue,Diphtheria,Monkeypox,,Influenza A (H5N1),Influenza A(H1N2)v virus
Multiple Pathogens,,,,,"['Adenovirus', 'SARS-CoV-2']","['wild poliovirus type 1 (WPV1)', 'circulating vaccine-derived poliovirus type 2 (cVDPV2)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"```python
pathogens = ['chikungunya', 'dengue']
```",,,,,,"[""Neisseria meningitidis"", ""Streptococcus pneumoniae"", ""Haemophilus influenzae"", ""Streptococcus agalactiae""]",,,,,,,,,['Lassa virus'],,,,,,,,,,,,,,,,,,,,,"[""Corynebacterium diphtheriae"", ""Corynebacterium ulcerans""]",,,"[""Shigella"", ""Salmonella Typhi"", ""Vibrio cholerae""]",,,,,,"['Influenza', 'Mycoplasma pneumoniae', 'Respiratory syncytial virus (RSV)', 'Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)', 'Adenovirus']",,
Reporting Date,05-13-2022,04-26-2022,05-13-2022,01-01-2022,04-05-2022,05-15-2022,01-01-2022,04-23-2022,04-05-2022,05-31-2022,06-28-2022,07-14-2022,08-21-2022,01-01-2021,07-08-2022,08-29-2022,February 2022,07-07-2022,09-20-2022,08-21-2022,08-08-2022,June 2022,01-01-2022,10-02-2022,10-06-2022,08-30-2022,03-03-2022,09-20-2022,09-20-2022,12-29-2021,09-20-2022,"January 1, 2022",09-20-2022,11-30-2022,10-02-2022,09-20-2022,12-08-2022,11-12-2022,01-01-2021,03-03-2022,09-20-2022,01-09-2023,01-05-2023,12-16-2022,01-23-2023,11-01-2022,01-01-2022,12-14-2022,01-04-2023,09-14-2022,02-07-2023,02-23-2023,01-02-2023,10-08-2022,Data not available.,02-07-2023,03-07-2023,03-21-2023,12-1-2022,03-29-2023,10-01-2022,12-15-2022,03-27-2023,03-17-2023,03-17-2023,02-13-2023,08-12-2021,03-29-2023,01-01-2023,04-16-2023,04-05-2023,04-14-2023,"02-13-2023, 03-21-2023",Mid-May 2023,05-05-2023,05-11-2023,03-21-2023,02-13-2023,06-07-2023,05-31-2023,01-01-2023,06-27-2023,06-26-2023,07-10-2023,07-11-2023,07-04-2023,01-01-2023,08-04-2023,08-12-2023,09-13-2022,07-02-2023,09-02-2023,08-18-2023,07-17-2023,09-12-2023,09-12-2023,08-15-2023,09-05-2023,01-01-2023,11-13-2023,11-24-2023,11-25-2023
Reporting Agency,WHO,National IHR Focal Point of Pakistan,World Health Organization,World Health Organization (WHO),World Health Organization,Global Polio Laboratory Network (GPLN),World Health Organization,Ministry of Health,WHO,"Institute of Epidemiology, Disease Control and Research",Noguchi Memorial Institute of Medicine Research,Ministry of Health of the United Republic of Tanzania,Ministry of Health (MoH) of the Democratic Republic of the Congo,World Health Organization,WHO,Ministry of Public Health of Tucumán Province,WHO Global Polio Laboratory Network,Ministry of Health of Ghana,Uganda health authorities,Ministry of Health,Epidemiology and Disease Control Division (EDCD) of the Ministry of Health and Population,The text does not provide the name of the agency that initially reported the outbreak.,National Institute of Health-Islamabad,Haiti Ministry of Public Health and Population,Ministry of Public Health of Lebanon,Ministry of Health (MoH) of Mauritania,Ministry of Public Health of Malawi,Ministry of Public Health of Spain,Republic of Uganda Health Authorities,Ministry of Health of the Kingdom of Saudi Arabia,Ministry of Health Uganda and WHO,Ministry of Health & Family Welfare of Bangladesh,Ministry of Health Uganda,World Health Organization (WHO),Haiti Ministry of Public Health and Population,Ministry of Health Uganda,World Health Organization,Indonesia’s Ministry of Health,World Health Organization (WHO),Ministry of Public Health of Malawi,Ministry of Health (MoH) of Uganda,WHO,World Health Organization (WHO),World Health Organization (WHO),Paraguay IHR National Focal Point,WHO,Health authorities in South Sudan,Governor of the province of North Kivu,"Ministry of Health and Family Welfare, Bangladesh",Ministry of Health and WHO,Ministry of Health and Social Welfare of Equatorial Guinea,Cambodia International Health Regulations (IHR) National Focal Point (NFP),National Public Health Laboratory,National Institute of Communicable Diseases,World Health Organization,Ministry of Health and Social Welfare of Equatorial Guinea,National IHR Focal Point (NFP) for Germany,Ministry of Health of the United Republic of Tanzania,Nigeria Centre for Disease Control and Prevention,Ministry of Health of Chile,Nigeria Centre for Disease Control and Prevention (NCDC),Ministry of Health of Togo,National Health Commission of the People’s Republic of China,Burundi Ministry of Health,Indonesia Ministry of Health,World Health Organization,The text does not specify an agency name.,Ministry of Health of Chile,Indonesia Ministry of Health,The text does not provide information on which agency initially reported the Lassa fever outbreak in Nigeria.,National IHR Focal Point for the United Kingdom,Ministry of Health of South Sudan,WHO,United Kingdom Health Security Agency,WHO,United States of America Centers for Disease Control and Prevention,Ministry of Health of the United Republic of Tanzania,Ministry of Health and Social Welfare of Equatorial Guinea,World Health Organization,WHO,World Health Organization,IHR National Focal Point of Poland,"National Center for Epidemiology, Prevention, and Disease Control (CDC) of Peru",WHO,WHO,Ministry of Health of the United Republic of Tanzania,Ministry of Health and Family Welfare of Bangladesh,United States International Health Regulations (IHR) National Focal Point,IHR National Focal Point of Chile,Ministry of Health of the Kingdom of Saudi Arabia,Nigeria Centre for Disease Control,"Ministry of Health, Welfare and Sport of the Netherlands","Public health authorities in Rzeszów, Poland",Ministry of Health and Population,National IHR Focal Point for France,"Ministry of Health and Family Welfare, Government of India",Ministry of Public Health and Prevention of the Republic of Chad,Ministry of Health,National Institute of Biomedical Research,World Health Organization,The Ministry of Health of Cambodia,United Kingdom Health Security Agency
Index Date,05-13-2022,,,01-01-2022,04-05-2022,,,04-23-2022,,,06-24-2022,07-02-2022,,,,08-18-2022,,06-22-2022,09-11-2022,07-23-2022,,,,,10-01-2022,08-18-2022,,09-20-2022,09-19-2022,,09-20-2022,,09-20-2022,,,09-20-2022,,,,,,12-18-2022,,,,11-01-2022,,11-21-2022,01-04-2023,,01-07-2023,02-16-2023,,,,01-07-2023,02-22-2023,03-21-2023,,03-29-2023,,12-15-2022,,11-24-2022,,02-13-2023,,03-13-2023,,,,03-23-2023,,05-15-2023,,05-11-2023,03-21-2023,,,,,06-27-2023,06-10-2023,,07-11-2023,07-04-2023,,07-29-2023,,,06-30-2023,08-20-2023,07-30-2023,,09-04-2023,09-12-2023,08-15-2023,,,,11-19-2023,11-05-2023
Case Count,523,290,505,2103,270,1,1310,5,90,7687,2,0,1,184,1,11,1,3,36,1,28109,3400000,25932,32,18,47,6056,2,115,4,136,52807,141,The text does not provide a specific integer value for the number of new cases of the disease reported.,13672,1,57,4,455,36943,164,1,1,600,1,559,4339,4386,11,5237,9,2,690,772,455690,8,71,8,557,1,1686,141,1,1,4,6,16814,1,2161,141,10,91,26,2,9,20,9,40,1,33,2997097,29,231,1,4,1,69483,1,1,3,5898,1,166,2389,15,6,41,538,12569,The text does not provide a specific integer number for the new cases of the disease reported.,2,1
Death Count,0,9,72,1,18,0,1,5,4,6,2,3,1,21,0,4,0,2,23,1,38,0,62,16,2,23,183,0,53,0,53,230,62,0,297,55,13,0,40,1210,77,0,0,0,0,18,46,16,8,37,9,1,1,0,162,7,0,5,73,0,124,12,1,0,0,11,182,0,6,152,2,5,18,0,7,2,6,35,1,9,1302,0,4,0,0,0,327,0,0,2,0,0,23,52,1,2,1,58,582,0,1,0
Check Pathogen,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
Location,"Europe, North America, Nigeria, WHO European Region, Region of the Americas, Eastern Mediterranean Region, Western Pacific Region, Cameroon, Central African Republic, Democratic Republic of the Congo, Gabon, Ghana, Cote d’Ivoire, Liberia","Pakistan, Sindh province, Balochistan province, Punjab province, Karachi city","Region of the Americas, European Region, Eastern Mediterranean Region, Western Pacific Region, WHO African Region, Ghana, United States of America","Americas, Africa, Europe, Eastern Mediterranean, Western Pacific","United Kingdom of Great Britain and Northern Ireland, Scotland, United States of America","Mozambique, Pakistan, Malawi, Zimbabwe, South Africa, Afghanistan","Nigeria, WHO European Region, WHO African Region, Region of the Americas, Eastern Mediterranean Region, Western Pacific Region","Democratic Republic of the Congo, Mbandaka, Wangata, Equateur, Mama Balako, Libiki, Motema Pembe, Kinshasa, Bolenge","Luxembourg, Costa Rica, United Kingdom of Great Britain and Northern Ireland, United States of America, Japan, Scotland, Netherlands","Bangladesh, Cox’s Bazar district, Rohingya refugee/FDMN camps, Ukhia Upazila, Teknaf Upazila, Dhaka","Ashanti region, Ghana, Adansi North district, Ashanti region, Western region, Sawla-Tuna-Kalba district, Savannah region, Burkina Faso, Côte d’Ivoire, Bekwai Municipal, Ashanti","United Republic of Tanzania, Lindi Region, Ruangwa District, Kilwa District","Democratic Republic of the Congo, Beni, North Kivu, Equateur province, Goma, Kinshasa, Ituri, South Kivu","WHO African Region, Cameroon, Central African Republic, Chad, Côte d'Ivoire, Democratic Republic of Congo, Gabon, Ghana, Nigeria, Republic of the Congo, Kenya, Uganda, Niger","Tamanrasset Province, Southern Algeria, Kano, Nigeria","San Miguel de Tucumán city, Tucuman Province, Argentina","United Kingdom, United States of America, London, Rockland County, New York State, Jerusalem District, Israel","Ghana, Ashanti, Savannah, Western regions","Madudu sub-county, Mubende district, Kyegegwa district, Kassanda district, Kiruma sub-county, Kampala","Democratic Republic of the Congo, Butanuka health area, Beni health zone, North Kivu province, Goma","Nepal, Bagmati, Kathmandu, Lalitpur, Makwanpur","Pakistan, Balochistan, Sindh","Pakistan, Afghanistan, Islamic Republic of Iran, Sindh, Punjab, Islamabad Capital Territory, Khyber Pakhtunkhwa, Balochistan","Port-au-Prince, Cité Soleil, I’Estère, Artibonite","Lebanon, North Governorate, Akkar Governorate, Minieh-Danniyeh, Halba, Aarsal, Baalbek district, Beirut, Mount Lebanon, Ain Mraisseh, Ghadir station, Bourj","Mauritania, Mali, Senegal, Algeria, Tintane, Hodh El Gharbi, Adrar, Assaba, Guidimakha, Hodh Echargui, Tagant, Tiris Zemmour, Tr","Malawi, Southern region of Malawi, Nsanje, Machinga, Northern part of the country, Nkhata Bay, Nkhotakota, Rumphi, Karonga, Blantyre","Spain, Guadalajara, United Kingdom","Republic of Uganda, Madudu sub-county, Mubende district","Saudi Arabia, Riyadh, Gassim, Makka Al Mukarramah","Masaka, Mubende, Kassanda, Bunyangabu, Kagadi","Bangladesh, Dhaka, Chattogram, Khulna","Uganda, Jinja, Kampala, Kassanda, Masaka, Mubende, Bunyangabu, Kagadi","WHO Regions of Africa, Eastern Mediterranean, Mozambique, Malawi, Pakistan, Nigeria, Horn of Africa, Afghanistan, Cameroon, Democratic Republic of Congo, Haiti, Islamic Republic of Iran, Somalia, Syrian Arab Republic, Yemen, Ethiopia, Southern Africa","Haiti, Ouest, Centre, Artibonite, Port-au-Prince, Dominican Republic, I’Estère","Kassanda district, Uganda","France, Ireland, the Netherlands, Sweden, United Kingdom of Great Britain and Northern Ireland","Indonesia, Pidie district, Aceh province, North Sumatera, West Sumatera, Riau, Papua province","Cameroon, Central African Republic, Chad, Côte d'Ivoire, Democratic Republic of the Congo, Ghana, Kenya, Niger, Nigeria, Republic of the Congo, Sierra Leone, Uganda, Gabon","Malawi, Machinga, Mangochi, Blantyre, Lilongwe","Uganda, Bunyangabu, Jinja, Kagadi, Kampala, Kassanda, Kyegegwa, Masaka, Mubende, Wakiso","Bolívar, Ecuador, Latin America, Caribbean region","North Batinah Governorate, Oman","Africa, Eastern Mediterranean, Lebanon, Syria, Haiti, Dominican Republic, North Kivu, Democratic Republic of the Congo, Goma, Burundi, Bujumbura, Lake Tanganyika, South Kivu, Cameroon, Nigeria,","Itapúa Department, Paraguay, Buenos Aires, Argentina","Zinder Region, Niger, Jigawa State, Nigeria, Dungass, Matamèye, Mirriah, Magaria, Zinder ville, Gouré","South Sudan, Juba county, Central Equatoria state, Cueibet county, Lakes state, Torit, Eastern Equatoria State, Maban, Upper Nile State","Democratic Republic of the Congo, Ituri, North Kivu, South Kivu, Tanganyika, Nyiragongo HZ, Rwanda, Uganda, Karisimbi, Goma, Kanyaruchinya, Kib","Bangladesh, Dhaka Division, Narsingdi, Rajbari, Shariatpur, Rajshahi Division, Naogaon, Natore, Pabna, Rajshahi","Mozambique, Lago, Niassa, Chimbonila, Lichinga, Mandimba, Mecanhelas, Muembe, Ngauma, Sanga, Beira, Buzi, Caia, Ch","Equatorial Guinea, Dakar, Senegal, Nsock Nsomo, Kie-Ntem, Río Muni Region, Gabon, Ebebiyin District Hospital, Marburg, Frankfurt, Germany, Belgrade, Serbia,","Cambodia, Prey Veng province","Nepalgunj sub-metropolitan city, Banke district, Surkhet, Bardiya, Kailali, Kanchanpur, Bajura, Dang, Mahottari, Sunsari, Morang, L","South Africa, Limpopo, North West, Gauteng, Mpumalanga, Free State, KwaZulu-Natal, Western Cape, Northern Cape, Eastern Cape","Region of the Americas, Central America, South America, Caribbean, Paraguay, Nicaragua, Brazil, Belize, Bolivia, Santa Cruz, Beni, Tarija, Central, Amambay, Asunción, Peru, Buenos Aires Province,","Equatorial Guinea, Kié-Ntem, Litoral, Centre- Sur, Nsok Nsomo, Río Muni Region, Dakar, Senegal, Ebibeyin, Marburg, Frankfurt, Germany, Belgrade","Germany, Türkiye, Austria, Switzerland","United Republic of Tanzania, Bukoba district, Kagera region, Goziba Island, Lake Victoria, Uganda, Rwanda, Burundi, Equatorial Guinea, Ghana, Guinea, Angola, Democratic Republic of the Congo, Kenya, South Africa","Nigeria, Federal Capital Territory, Kano, Lagos, Borno, Yobe, Katsina, Sokoto, Zamfara, Kaduna, Osun","Chile, Region of Antofagasta, United States of America, Ecuador","Nigeria, Federal Capital Territory, Jigawa, Zinder region in Niger, Zamfara, Yobe, Benue, Gombe, Katsina, Oyo, Sokoto, Maigatari LGA, Sule","Togo, Oti Sud district, Savanes region","People’s Republic of China, Guangdong province","Burundi, Bujumbura Rural province, Bujumbura Mairie province, Sud-Kivu, Democratic Republic of the Congo (DRC), Gatumba","Indonesia, Purwakarta district, West Java province, Aceh province","Equatorial Guinea, Bata, Litoral province, Dakar, Senegal, Ebebiyin, Evinayong, Nsok Nsomo, Nsork, Centro Sur, Kie Ntem, Wele","Ethiopia, Afar, Amhara, Harari, Oromia, Southern Nations, Nationalities and Peoples Region (SNNPR), South West Ethiopia Peoples’ Region (SWEPR), Tigray, Somali","Chile, Region of Antofagasta, United States of America, Ecuador","Indonesia, West Java, Central Papua, Banten, Aceh, North Sumatera, Riau, Riau Islands, West Sumatera, Java-Bali, East Java","Nigeria, West Africa, Adamawa, Benue, Cross Rivers, Taraba, Oyo, Niger, Federal Capital Territory, Ondo, Edo, Bauchi, Borno State, Cameroon, Benin","United Kingdom, Wales, South Wales, Southwest England","Wau City, Western Bahr el-Ghazal State, South Sudan, Bentiu, Rubkona County, Unity State, South Sudan, Nazareth Village, Wau South","Equatorial Guinea, United Republic of Tanzania, Bata, Litoral province, Ebebiyin, Evinayong, Nsok Nsomo, Nsork, Centro Sur, Kié-Ntem, Wele-N","United Kingdom of Great Britain and Northern Ireland, England",France,"United States of America, Mexico, Matamoros, Tamaulipas state, Canada","United Republic of Tanzania, Bukoba district, Kagera region, Equatorial Guinea, Ghana, Guinea, Uganda, Angola, Democratic Republic of the Congo, Kenya, South Africa","Equatorial Guinea, Senegal, Bata, Ebebiyin, Evinayong, Nsok Nsomo, Nsork, Centro Sur, Kié-Ntem, Litoral, Wele-Nzas, United","Brazil, Paraná, Rio de Janeiro, Toledo","France, Croatia, Italy, Spain, Sweden, United Kingdom of Great Britain and Northern Ireland, Austria, Belgium, Denmark, Netherlands, Norway","Region of the Americas, Brazil, Peru, Bolivia, the Southern Cone, Andean Subregion, Central American Isthmus, Mexico, Colombia, Costa Rica, Guatemala, Honduras, Venezuela, Argentina, Panama, Puerto Rico, Nicaragua, Afghanistan,",Poland,"Peru, Lima, Callao, La Libertad, Piura, Lambayeque, Cajamarca, Junín, Cusco","United Arab Emirates, Al Ain city, Abu Dhabi","Hagadera refugee camp, Kenya, Banadir, Somalia, Fafi district, Garissa county, Afmadhow, Lower Juba, southern Somalia","United Republic of Tanzania, Rukwa Region, Lake Tanganyika, Zambia, South Kivu, Demographic Republic of the Congo","Bangladesh, Dhaka, Chattogram, Barisal, Sylhet","United States, State of Michigan","Chile, Georgia, Armenia, Qatar, Brazil","Kingdom of Saudi Arabia, Riyadh, Asser, Makkah Al Mukarramah","Nigeria, Kano, Katsina, Yobe, Bauchi, Kaduna, Borno","North Brabant, Netherlands","Poland, Rzeszów","Republic of the Congo, Dolisie, Niari Department, Bouenza, Brazzaville, Kouilou, Pointe-Noire, Pool","France, Bordeaux, Ile-de-France","Kozhikode district, Kerala, India","Abéché, Ouaddaï, N'Djamena, Sila, Wadi Fira","Guinea, Siguiri, Kankan, Kérouané, Mandiana, Kouroussa","Democratic Republic of the Congo, Kinshasa, Lualaba, South Kivu, Kenge, Kwango, Equateur, Maindombe, Limete, Makala, Nsele, South Kivu, Kisangani","Northern China, Beijing, Liaoning","Kampot Province, Cambodia","United Kingdom, Francis Crick Institute, Animal and Plant Health Agency"
Single Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[24.247832199999998, 56.69899822222297]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[46.603354, 1.8883335]",,,,,,,"[52.215933, 19.134422]",,,,,,,,,,"[51.6017723, 5.4441391]",,,,"[11.465593550000001, 75.89194000061082]",,,,,"[10.6046661, 104.1819278]",
